Cement,BlastFurnaceSlag,FlyAsh,Water,Superplasticizer,CoarseAggregate,FineAggregate,Age,ConcreteCompressiveStrength
252.0,0.0,0.0,185.0,0.0,1111.0,784.0,7.0,"[2.33, 20.9599992]"
295.799988,0.0,0.0,185.699997,0.0,1091.400024,769.299988,7.0,"[2.33, 20.9599992]"
252.30000299999998,0.0,98.800003,146.300003,14.2,987.7999880000001,889.0,3.0,"[20.9599992, 30.927999]"
172.399994,13.6,172.399994,156.800003,4.1,1006.2999880000001,856.400024,28.0,"[30.927999, 39.0199996]"
162.0,214.0,164.0,202.0,10.0,820.0,680.0,28.0,"[20.9599992, 30.927999]"
446.0,24.0,79.0,162.0,11.6,967.0,712.0,56.0,"[50.5139982, 82.599998]"
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,14.0,"[50.5139982, 82.599998]"
154.800003,0.0,142.800003,193.300003,9.1,1047.400024,696.700012,28.0,"[2.33, 20.9599992]"
167.399994,129.899994,128.600006,175.5,7.8,1006.2999880000001,746.599976,56.0,"[50.5139982, 82.599998]"
277.0,0.0,0.0,191.0,0.0,968.0,856.0,14.0,"[20.9599992, 30.927999]"
251.399994,0.0,118.300003,192.899994,5.8,1043.599976,754.299988,100.0,"[39.0199996, 50.5139982]"
382.0,0.0,0.0,186.0,0.0,1047.0,739.0,7.0,"[20.9599992, 30.927999]"
153.0,102.0,0.0,192.0,0.0,888.0,943.099976,28.0,"[2.33, 20.9599992]"
400.0,0.0,0.0,187.0,0.0,1025.0,745.0,7.0,"[20.9599992, 30.927999]"
397.0,0.0,0.0,186.0,0.0,1040.0,734.0,28.0,"[30.927999, 39.0199996]"
275.100006,0.0,121.400002,159.5,9.9,1053.599976,777.5,56.0,"[50.5139982, 82.599998]"
154.0,144.0,112.0,220.0,10.0,923.0,658.0,28.0,"[2.33, 20.9599992]"
116.0,173.0,0.0,192.0,0.0,909.7999880000001,891.900024,90.0,"[30.927999, 39.0199996]"
387.0,20.0,94.0,157.0,13.9,938.0,845.0,56.0,"[39.0199996, 50.5139982]"
387.0,20.0,94.0,157.0,14.3,938.0,845.0,7.0,"[30.927999, 39.0199996]"
288.0,121.0,0.0,177.0,7.0,908.0,829.0,28.0,"[39.0199996, 50.5139982]"
350.0,0.0,0.0,186.0,0.0,1050.0,770.0,7.0,"[2.33, 20.9599992]"
158.800003,238.19999700000002,0.0,185.699997,0.0,1040.599976,734.299988,28.0,"[20.9599992, 30.927999]"
439.0,177.0,0.0,186.0,11.1,884.900024,707.900024,3.0,"[39.0199996, 50.5139982]"
192.0,288.0,0.0,192.0,0.0,929.7999880000001,716.099976,90.0,"[50.5139982, 82.599998]"
149.0,118.0,92.0,183.0,7.0,953.0,780.0,28.0,"[20.9599992, 30.927999]"
173.5,50.099998,173.5,164.800003,6.5,1006.2000119999999,793.5,3.0,"[20.9599992, 30.927999]"
313.299988,145.0,0.0,178.5,8.0,1001.900024,688.700012,28.0,"[39.0199996, 50.5139982]"
173.800003,93.400002,159.899994,172.300003,9.7,1007.2000119999999,746.599976,28.0,"[30.927999, 39.0199996]"
165.0,128.5,132.100006,175.100006,8.1,1005.7999880000001,746.599976,14.0,"[30.927999, 39.0199996]"
237.5,237.5,0.0,228.0,0.0,932.0,594.0,7.0,"[20.9599992, 30.927999]"
491.0,26.0,123.0,210.0,3.9,882.0,699.0,28.0,"[50.5139982, 82.599998]"
167.0,75.400002,167.0,164.0,7.9,1007.2999880000001,770.099976,100.0,"[50.5139982, 82.599998]"
276.399994,116.0,90.300003,179.600006,8.9,870.099976,768.299988,28.0,"[39.0199996, 50.5139982]"
330.5,169.600006,0.0,194.899994,8.1,811.0,802.299988,28.0,"[50.5139982, 82.599998]"
288.0,192.0,0.0,192.0,0.0,932.0,717.799988,90.0,"[50.5139982, 82.599998]"
229.69999700000002,0.0,118.199997,195.199997,6.1,1028.099976,757.599976,28.0,"[20.9599992, 30.927999]"
350.0,0.0,0.0,203.0,0.0,974.0,775.0,180.0,"[30.927999, 39.0199996]"
333.0,0.0,0.0,192.0,0.0,931.2000119999999,842.599976,28.0,"[30.927999, 39.0199996]"
310.0,143.0,0.0,168.0,10.0,914.0,804.0,28.0,"[39.0199996, 50.5139982]"
135.0,0.0,166.0,180.0,10.0,961.0,805.0,28.0,"[2.33, 20.9599992]"
255.0,0.0,0.0,192.0,0.0,889.7999880000001,945.0,3.0,"[2.33, 20.9599992]"
427.5,47.5,0.0,228.0,0.0,932.0,594.0,180.0,"[39.0199996, 50.5139982]"
376.0,0.0,0.0,214.600006,0.0,1003.5,762.400024,3.0,"[2.33, 20.9599992]"
168.0,42.099998,163.800003,121.800003,5.7,1058.699951,780.099976,3.0,"[2.33, 20.9599992]"
102.0,153.0,0.0,192.0,0.0,887.0,942.0,28.0,"[2.33, 20.9599992]"
425.0,106.300003,0.0,153.5,16.5,852.099976,887.099976,7.0,"[39.0199996, 50.5139982]"
165.0,128.5,132.100006,175.100006,8.1,1005.7999880000001,746.599976,28.0,"[39.0199996, 50.5139982]"
389.899994,189.0,0.0,145.899994,22.0,944.7000119999999,755.799988,91.0,"[50.5139982, 82.599998]"
172.399994,13.6,172.399994,156.800003,4.1,1006.2999880000001,856.400024,14.0,"[20.9599992, 30.927999]"
277.200012,97.800003,24.5,160.699997,11.2,1061.699951,782.5,3.0,"[20.9599992, 30.927999]"
380.0,95.0,0.0,228.0,0.0,932.0,594.0,7.0,"[30.927999, 39.0199996]"
266.0,112.0,87.0,178.0,10.0,910.0,745.0,28.0,"[39.0199996, 50.5139982]"
401.799988,94.699997,0.0,147.399994,11.4,946.7999880000001,852.099976,3.0,"[39.0199996, 50.5139982]"
135.699997,203.5,0.0,185.699997,0.0,1076.199951,759.299988,7.0,"[2.33, 20.9599992]"
238.100006,0.0,94.099998,186.699997,7.0,949.900024,847.0,28.0,"[20.9599992, 30.927999]"
279.799988,128.899994,100.400002,172.399994,9.5,825.099976,804.900024,28.0,"[50.5139982, 82.599998]"
281.0,0.0,0.0,185.0,0.0,1104.0,774.0,28.0,"[20.9599992, 30.927999]"
374.0,189.199997,0.0,170.100006,10.1,926.099976,756.700012,28.0,"[50.5139982, 82.599998]"
251.399994,0.0,118.300003,188.5,5.8,1028.400024,757.700012,3.0,"[2.33, 20.9599992]"
375.0,93.800003,0.0,126.599998,23.4,852.099976,992.599976,56.0,"[50.5139982, 82.599998]"
142.0,167.0,130.0,174.0,11.0,883.0,785.0,28.0,"[39.0199996, 50.5139982]"
164.0,0.0,200.0,181.0,13.0,849.0,846.0,28.0,"[2.33, 20.9599992]"
272.799988,105.099998,81.800003,209.699997,9.0,904.0,679.700012,28.0,"[30.927999, 39.0199996]"
233.80000299999998,0.0,94.599998,197.899994,4.6,947.0,852.2000119999999,56.0,"[20.9599992, 30.927999]"
446.0,24.0,79.0,162.0,11.6,967.0,712.0,28.0,"[50.5139982, 82.599998]"
212.5,0.0,100.400002,159.300003,8.7,1007.7999880000001,903.599976,14.0,"[20.9599992, 30.927999]"
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,90.0,"[39.0199996, 50.5139982]"
236.0,157.0,0.0,192.0,0.0,972.599976,749.099976,7.0,"[2.33, 20.9599992]"
190.699997,0.0,125.400002,162.100006,7.8,1090.0,804.0,100.0,"[39.0199996, 50.5139982]"
304.0,76.0,0.0,228.0,0.0,932.0,670.0,28.0,"[39.0199996, 50.5139982]"
238.0,0.0,0.0,186.0,0.0,1119.0,789.0,7.0,"[2.33, 20.9599992]"
342.0,38.0,0.0,228.0,0.0,932.0,670.0,270.0,"[50.5139982, 82.599998]"
304.0,76.0,0.0,228.0,0.0,932.0,670.0,270.0,"[50.5139982, 82.599998]"
362.600006,189.0,0.0,164.899994,11.6,944.7000119999999,755.799988,91.0,"[50.5139982, 82.599998]"
173.5,50.099998,173.5,164.800003,6.5,1006.2000119999999,793.5,56.0,"[50.5139982, 82.599998]"
307.0,0.0,0.0,193.0,0.0,968.0,812.0,28.0,"[20.9599992, 30.927999]"
401.799988,94.699997,0.0,147.399994,11.4,946.7999880000001,852.099976,56.0,"[50.5139982, 82.599998]"
151.600006,0.0,111.900002,184.399994,7.9,992.0,815.900024,28.0,"[2.33, 20.9599992]"
359.0,19.0,141.0,154.0,10.9,942.0,801.0,28.0,"[50.5139982, 82.599998]"
355.0,19.0,97.0,145.0,12.3,967.0,871.0,28.0,"[50.5139982, 82.599998]"
108.300003,162.399994,0.0,203.5,0.0,938.2000119999999,849.0,90.0,"[20.9599992, 30.927999]"
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,7.0,"[2.33, 20.9599992]"
212.0,0.0,124.800003,159.0,7.8,1085.400024,799.5,3.0,"[2.33, 20.9599992]"
382.5,0.0,0.0,185.699997,0.0,1047.800049,739.299988,28.0,"[30.927999, 39.0199996]"
231.80000299999998,0.0,121.599998,174.0,6.7,1056.400024,778.5,3.0,"[2.33, 20.9599992]"
252.0,0.0,0.0,186.0,0.0,1111.0,784.0,7.0,"[2.33, 20.9599992]"
425.0,106.300003,0.0,151.399994,18.6,936.0,803.700012,91.0,"[50.5139982, 82.599998]"
156.0,178.0,187.0,221.0,7.0,854.0,614.0,28.0,"[20.9599992, 30.927999]"
178.0,129.800003,118.599998,179.899994,3.6,1007.2999880000001,746.799988,14.0,"[30.927999, 39.0199996]"
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,3.0,"[2.33, 20.9599992]"
310.0,0.0,0.0,192.0,0.0,970.0,850.0,180.0,"[30.927999, 39.0199996]"
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,90.0,"[39.0199996, 50.5139982]"
393.0,0.0,0.0,192.0,0.0,940.599976,785.599976,90.0,"[39.0199996, 50.5139982]"
286.299988,200.899994,0.0,144.699997,11.2,1004.599976,803.700012,7.0,"[30.927999, 39.0199996]"
165.0,128.5,132.100006,175.100006,8.1,1005.7999880000001,746.599976,56.0,"[50.5139982, 82.599998]"
313.0,145.0,0.0,127.0,8.0,1000.0,822.0,28.0,"[39.0199996, 50.5139982]"
439.0,177.0,0.0,186.0,11.1,884.900024,707.900024,7.0,"[50.5139982, 82.599998]"
166.0,259.700012,0.0,183.199997,12.7,858.7999880000001,826.799988,28.0,"[30.927999, 39.0199996]"
237.5,237.5,0.0,228.0,0.0,932.0,594.0,90.0,"[30.927999, 39.0199996]"
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,270.0,"[50.5139982, 82.599998]"
212.0,0.0,124.800003,159.0,7.8,1085.400024,799.5,28.0,"[30.927999, 39.0199996]"
190.300003,0.0,125.199997,161.899994,9.9,1088.099976,802.599976,56.0,"[30.927999, 39.0199996]"
275.100006,0.0,121.400002,159.5,9.9,1053.599976,777.5,100.0,"[50.5139982, 82.599998]"
252.30000299999998,0.0,98.800003,146.300003,14.2,987.7999880000001,889.0,14.0,"[39.0199996, 50.5139982]"
168.0,42.099998,163.800003,121.800003,5.7,1058.699951,780.099976,14.0,"[2.33, 20.9599992]"
166.100006,0.0,163.300003,176.5,4.5,1058.599976,780.099976,100.0,"[30.927999, 39.0199996]"
277.0,0.0,0.0,191.0,0.0,968.0,856.0,3.0,"[2.33, 20.9599992]"
218.19999700000002,54.599998,123.800003,140.800003,11.9,1075.699951,792.700012,100.0,"[50.5139982, 82.599998]"
326.0,166.0,0.0,174.0,9.0,882.0,790.0,28.0,"[50.5139982, 82.599998]"
143.0,169.399994,142.699997,190.699997,8.4,967.400024,643.5,28.0,"[20.9599992, 30.927999]"
236.0,157.0,0.0,192.0,0.0,972.599976,749.099976,28.0,"[30.927999, 39.0199996]"
290.200012,193.5,0.0,185.699997,0.0,998.2000119999999,704.299988,7.0,"[20.9599992, 30.927999]"
321.0,0.0,128.0,182.0,11.0,870.0,780.0,28.0,"[30.927999, 39.0199996]"
198.600006,132.399994,0.0,192.0,0.0,978.400024,825.5,180.0,"[39.0199996, 50.5139982]"
218.19999700000002,54.599998,123.800003,140.800003,11.9,1075.699951,792.700012,56.0,"[50.5139982, 82.599998]"
225.0,0.0,0.0,181.0,0.0,1113.0,833.0,7.0,"[2.33, 20.9599992]"
297.0,0.0,0.0,186.0,0.0,1040.0,734.0,7.0,"[30.927999, 39.0199996]"
246.80000299999998,0.0,125.099998,143.300003,12.0,1086.800049,800.900024,14.0,"[39.0199996, 50.5139982]"
141.300003,212.0,0.0,203.5,0.0,971.7999880000001,748.5,7.0,"[2.33, 20.9599992]"
213.80000299999998,98.099998,24.5,181.699997,6.7,1066.0,785.5,56.0,"[39.0199996, 50.5139982]"
305.299988,203.5,0.0,203.5,0.0,965.400024,631.0,90.0,"[50.5139982, 82.599998]"
212.5,0.0,100.400002,159.300003,8.7,1007.7999880000001,903.599976,56.0,"[39.0199996, 50.5139982]"
491.0,26.0,123.0,210.0,3.9,882.0,699.0,3.0,"[20.9599992, 30.927999]"
342.0,38.0,0.0,228.0,0.0,932.0,670.0,180.0,"[50.5139982, 82.599998]"
251.80000299999998,0.0,99.900002,146.100006,12.4,1006.0,899.7999880000001,14.0,"[30.927999, 39.0199996]"
198.600006,132.399994,0.0,192.0,0.0,978.400024,825.5,7.0,"[2.33, 20.9599992]"
304.0,76.0,0.0,228.0,0.0,932.0,670.0,365.0,"[50.5139982, 82.599998]"
505.0,0.0,60.0,195.0,0.0,1030.0,630.0,28.0,"[50.5139982, 82.599998]"
425.0,106.300003,0.0,153.5,16.5,852.099976,887.099976,28.0,"[50.5139982, 82.599998]"
165.0,0.0,143.600006,163.800003,0.0,1005.599976,900.900024,3.0,"[2.33, 20.9599992]"
183.899994,122.599998,0.0,203.5,0.0,959.2000119999999,800.0,28.0,"[20.9599992, 30.927999]"
382.0,0.0,0.0,186.0,0.0,1047.0,739.0,28.0,"[30.927999, 39.0199996]"
203.5,305.299988,0.0,203.5,0.0,963.400024,630.0,28.0,"[39.0199996, 50.5139982]"
213.69999700000002,98.099998,24.5,181.699997,6.9,1065.800049,785.400024,100.0,"[50.5139982, 82.599998]"
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,270.0,"[50.5139982, 82.599998]"
540.0,0.0,0.0,162.0,2.5,1040.0,676.0,28.0,"[50.5139982, 82.599998]"
275.0,0.0,0.0,183.0,0.0,1088.0,808.0,7.0,"[2.33, 20.9599992]"
297.200012,0.0,117.5,174.800003,9.5,1022.7999880000001,753.5,3.0,"[20.9599992, 30.927999]"
469.0,117.199997,0.0,137.800003,32.200001,852.099976,840.5,91.0,"[50.5139982, 82.599998]"
139.899994,132.600006,103.300003,200.300003,7.4,916.0,753.400024,28.0,"[30.927999, 39.0199996]"
321.299988,164.199997,0.0,190.5,4.6,870.0,774.0,28.0,"[50.5139982, 82.599998]"
397.0,0.0,0.0,185.699997,0.0,1040.599976,734.299988,7.0,"[20.9599992, 30.927999]"
190.0,190.0,0.0,228.0,0.0,932.0,670.0,270.0,"[50.5139982, 82.599998]"
475.0,118.800003,0.0,181.100006,8.9,852.099976,781.5,7.0,"[50.5139982, 82.599998]"
366.0,187.0,0.0,191.300003,6.6,824.299988,756.900024,28.0,"[50.5139982, 82.599998]"
380.0,95.0,0.0,228.0,0.0,932.0,594.0,90.0,"[39.0199996, 50.5139982]"
213.5,0.0,174.199997,159.199997,11.7,1043.599976,771.900024,3.0,"[2.33, 20.9599992]"
310.0,0.0,0.0,192.0,0.0,970.0,850.0,360.0,"[30.927999, 39.0199996]"
425.0,106.300003,0.0,153.5,16.5,852.099976,887.099976,56.0,"[50.5139982, 82.599998]"
325.600006,166.399994,0.0,174.0,8.9,881.599976,790.0,28.0,"[50.5139982, 82.599998]"
439.0,177.0,0.0,186.0,11.1,884.900024,707.900024,91.0,"[50.5139982, 82.599998]"
295.700012,0.0,95.599998,171.5,8.9,955.099976,859.2000119999999,100.0,"[50.5139982, 82.599998]"
254.0,0.0,0.0,198.0,0.0,968.0,863.0,3.0,"[2.33, 20.9599992]"
469.0,117.199997,0.0,137.800003,32.200001,852.099976,840.5,3.0,"[39.0199996, 50.5139982]"
252.5,0.0,0.0,185.699997,0.0,1111.599976,784.299988,7.0,"[2.33, 20.9599992]"
143.699997,170.199997,132.600006,191.600006,8.5,814.099976,805.299988,28.0,"[20.9599992, 30.927999]"
425.0,106.300003,0.0,151.399994,18.6,936.0,803.700012,3.0,"[30.927999, 39.0199996]"
302.0,0.0,0.0,203.0,0.0,974.0,817.0,14.0,"[2.33, 20.9599992]"
249.100006,0.0,98.800003,158.100006,12.8,987.7999880000001,889.0,3.0,"[2.33, 20.9599992]"
134.699997,0.0,165.699997,180.199997,10.0,961.0,804.900024,28.0,"[2.33, 20.9599992]"
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,1.0,"[2.33, 20.9599992]"
425.0,106.300003,0.0,153.5,16.5,852.099976,887.099976,3.0,"[30.927999, 39.0199996]"
298.0,0.0,107.0,164.0,13.0,953.0,784.0,28.0,"[30.927999, 39.0199996]"
212.0,141.300003,0.0,203.5,0.0,973.400024,750.0,3.0,"[2.33, 20.9599992]"
145.0,0.0,179.0,202.0,8.0,824.0,869.0,28.0,"[2.33, 20.9599992]"
313.0,0.0,113.0,178.0,8.0,1002.0,689.0,28.0,"[30.927999, 39.0199996]"
222.399994,0.0,96.699997,189.300003,4.5,967.099976,870.2999880000001,3.0,"[2.33, 20.9599992]"
297.200012,0.0,117.5,174.800003,9.5,1022.7999880000001,753.5,28.0,"[39.0199996, 50.5139982]"
362.600006,189.0,0.0,164.899994,11.6,944.7000119999999,755.799988,91.0,"[50.5139982, 82.599998]"
296.0,0.0,0.0,186.0,0.0,1090.0,769.0,28.0,"[20.9599992, 30.927999]"
425.0,106.300003,0.0,153.5,16.5,852.099976,887.099976,56.0,"[50.5139982, 82.599998]"
144.0,170.0,133.0,192.0,8.0,814.0,805.0,28.0,"[20.9599992, 30.927999]"
310.0,143.0,111.0,168.0,22.0,914.0,651.0,28.0,"[30.927999, 39.0199996]"
339.0,0.0,0.0,197.0,0.0,968.0,781.0,3.0,"[2.33, 20.9599992]"
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,28.0,"[39.0199996, 50.5139982]"
375.0,93.800003,0.0,126.599998,23.4,852.099976,992.599976,28.0,"[50.5139982, 82.599998]"
528.0,0.0,0.0,185.0,6.9,920.0,720.0,28.0,"[50.5139982, 82.599998]"
266.0,114.0,0.0,228.0,0.0,932.0,670.0,180.0,"[39.0199996, 50.5139982]"
362.600006,189.0,0.0,164.899994,11.6,944.7000119999999,755.799988,56.0,"[50.5139982, 82.599998]"
145.699997,172.600006,0.0,181.899994,3.4,985.7999880000001,816.799988,28.0,"[20.9599992, 30.927999]"
277.0,0.0,0.0,191.0,0.0,968.0,856.0,90.0,"[30.927999, 39.0199996]"
275.100006,0.0,121.400002,159.5,9.9,1053.599976,777.5,14.0,"[30.927999, 39.0199996]"
183.899994,122.599998,0.0,203.5,0.0,959.2000119999999,800.0,3.0,"[2.33, 20.9599992]"
314.0,145.0,113.0,179.0,8.0,869.0,690.0,28.0,"[39.0199996, 50.5139982]"
178.0,129.800003,118.599998,179.899994,3.6,1007.2999880000001,746.799988,56.0,"[39.0199996, 50.5139982]"
374.0,189.199997,0.0,170.100006,10.1,926.099976,756.700012,56.0,"[50.5139982, 82.599998]"
424.0,22.0,132.0,178.0,8.5,822.0,750.0,7.0,"[30.927999, 39.0199996]"
425.0,106.300003,0.0,151.399994,18.6,936.0,803.700012,28.0,"[50.5139982, 82.599998]"
234.0,156.0,0.0,189.0,5.9,981.0,760.0,28.0,"[39.0199996, 50.5139982]"
297.200012,0.0,117.5,174.800003,9.5,1022.7999880000001,753.5,14.0,"[30.927999, 39.0199996]"
153.0,239.0,0.0,200.0,6.0,1002.0,684.0,28.0,"[20.9599992, 30.927999]"
326.5,0.0,137.899994,199.0,10.8,801.099976,792.5,28.0,"[30.927999, 39.0199996]"
446.0,24.0,79.0,162.0,11.6,967.0,712.0,56.0,"[50.5139982, 82.599998]"
516.0,0.0,0.0,162.0,8.2,801.0,802.0,28.0,"[39.0199996, 50.5139982]"
385.0,0.0,0.0,186.0,0.0,966.0,763.0,3.0,"[2.33, 20.9599992]"
491.0,26.0,123.0,201.0,3.9,822.0,699.0,3.0,"[20.9599992, 30.927999]"
261.0,100.0,78.0,201.0,9.0,864.0,761.0,28.0,"[30.927999, 39.0199996]"
250.0,0.0,0.0,182.0,0.0,1100.0,820.0,28.0,"[2.33, 20.9599992]"
250.0,0.0,95.699997,187.399994,5.5,956.900024,861.2000119999999,3.0,"[2.33, 20.9599992]"
307.0,0.0,0.0,193.0,0.0,968.0,812.0,3.0,"[2.33, 20.9599992]"
212.0,0.0,124.800003,159.0,7.8,1085.400024,799.5,100.0,"[39.0199996, 50.5139982]"
272.799988,181.899994,0.0,185.699997,0.0,1012.400024,714.299988,7.0,"[2.33, 20.9599992]"
322.0,0.0,0.0,203.0,0.0,974.0,800.0,14.0,"[2.33, 20.9599992]"
255.0,0.0,0.0,192.0,0.0,889.7999880000001,945.0,28.0,"[2.33, 20.9599992]"
146.5,114.599998,89.300003,201.899994,8.8,860.0,829.5,28.0,"[2.33, 20.9599992]"
225.0,0.0,0.0,181.0,0.0,1113.0,833.0,28.0,"[2.33, 20.9599992]"
132.0,207.0,161.0,179.0,5.0,867.0,736.0,28.0,"[30.927999, 39.0199996]"
159.800003,250.0,0.0,168.399994,12.2,1049.300049,688.200012,28.0,"[39.0199996, 50.5139982]"
