Inhabitants,Distance,Length
6.0,556.669983,"[1262.8000000000002, 1721.1999999999998]"
41.0,633.330017,"[1721.1999999999998, 2471.6000000000004]"
9.0,191.669998,"[80.0, 813.4000000000001]"
13.0,298.329987,"[80.0, 813.4000000000001]"
39.0,238.330002,"[80.0, 813.4000000000001]"
47.0,426.670013,"[813.4000000000001, 1262.8000000000002]"
16.0,753.330017,"[2471.6000000000004, 7675.0]"
25.0,253.330002,"[813.4000000000001, 1262.8000000000002]"
28.0,261.670013,"[80.0, 813.4000000000001]"
54.0,515.0,"[1262.8000000000002, 1721.1999999999998]"
11.0,495.0,"[813.4000000000001, 1262.8000000000002]"
59.0,633.330017,"[1721.1999999999998, 2471.6000000000004]"
9.0,261.670013,"[813.4000000000001, 1262.8000000000002]"
9.0,115.0,"[80.0, 813.4000000000001]"
6.0,85.0,"[80.0, 813.4000000000001]"
29.0,136.669998,"[80.0, 813.4000000000001]"
9.0,135.0,"[80.0, 813.4000000000001]"
24.0,395.0,"[80.0, 813.4000000000001]"
46.0,1115.0,"[1721.1999999999998, 2471.6000000000004]"
15.0,426.670013,"[813.4000000000001, 1262.8000000000002]"
13.0,490.0,"[1262.8000000000002, 1721.1999999999998]"
30.0,863.330017,"[2471.6000000000004, 7675.0]"
22.0,271.670013,"[813.4000000000001, 1262.8000000000002]"
70.0,250.0,"[1262.8000000000002, 1721.1999999999998]"
52.0,441.670013,"[1721.1999999999998, 2471.6000000000004]"
75.0,410.0,"[1262.8000000000002, 1721.1999999999998]"
44.0,563.330017,"[1721.1999999999998, 2471.6000000000004]"
29.0,890.0,"[2471.6000000000004, 7675.0]"
32.0,991.669983,"[2471.6000000000004, 7675.0]"
41.0,893.330017,"[2471.6000000000004, 7675.0]"
41.0,926.669983,"[2471.6000000000004, 7675.0]"
18.0,856.669983,"[2471.6000000000004, 7675.0]"
27.0,923.330017,"[2471.6000000000004, 7675.0]"
29.0,1200.0,"[2471.6000000000004, 7675.0]"
9.0,590.0,"[1262.8000000000002, 1721.1999999999998]"
21.0,516.669983,"[2471.6000000000004, 7675.0]"
15.0,713.330017,"[1721.1999999999998, 2471.6000000000004]"
25.0,756.669983,"[2471.6000000000004, 7675.0]"
56.0,816.669983,"[2471.6000000000004, 7675.0]"
51.0,1018.330017,"[2471.6000000000004, 7675.0]"
6.0,490.0,"[813.4000000000001, 1262.8000000000002]"
16.0,1673.329956,"[2471.6000000000004, 7675.0]"
41.0,613.330017,"[2471.6000000000004, 7675.0]"
19.0,723.330017,"[2471.6000000000004, 7675.0]"
30.0,1180.0,"[2471.6000000000004, 7675.0]"
12.0,366.670013,"[80.0, 813.4000000000001]"
36.0,718.330017,"[2471.6000000000004, 7675.0]"
27.0,751.669983,"[2471.6000000000004, 7675.0]"
48.0,728.330017,"[2471.6000000000004, 7675.0]"
13.0,513.330017,"[1262.8000000000002, 1721.1999999999998]"
70.0,250.0,"[1262.8000000000002, 1721.1999999999998]"
18.0,636.669983,"[1721.1999999999998, 2471.6000000000004]"
10.0,611.669983,"[1721.1999999999998, 2471.6000000000004]"
23.0,1271.670044,"[1721.1999999999998, 2471.6000000000004]"
92.0,458.329987,"[1721.1999999999998, 2471.6000000000004]"
58.0,365.0,"[1721.1999999999998, 2471.6000000000004]"
97.0,225.0,"[1262.8000000000002, 1721.1999999999998]"
31.0,633.330017,"[1262.8000000000002, 1721.1999999999998]"
18.0,716.669983,"[1262.8000000000002, 1721.1999999999998]"
35.0,330.0,"[813.4000000000001, 1262.8000000000002]"
37.0,860.0,"[1721.1999999999998, 2471.6000000000004]"
19.0,280.0,"[80.0, 813.4000000000001]"
36.0,223.330002,"[80.0, 813.4000000000001]"
12.0,536.669983,"[813.4000000000001, 1262.8000000000002]"
18.0,396.670013,"[813.4000000000001, 1262.8000000000002]"
16.0,556.669983,"[1262.8000000000002, 1721.1999999999998]"
26.0,603.330017,"[2471.6000000000004, 7675.0]"
27.0,550.0,"[1262.8000000000002, 1721.1999999999998]"
51.0,405.0,"[1721.1999999999998, 2471.6000000000004]"
17.0,276.670013,"[813.4000000000001, 1262.8000000000002]"
63.0,295.0,"[1262.8000000000002, 1721.1999999999998]"
91.0,996.669983,"[2471.6000000000004, 7675.0]"
17.0,720.0,"[1262.8000000000002, 1721.1999999999998]"
4.0,646.669983,"[813.4000000000001, 1262.8000000000002]"
111.0,370.0,"[813.4000000000001, 1262.8000000000002]"
16.0,126.66999799999999,"[80.0, 813.4000000000001]"
36.0,305.0,"[813.4000000000001, 1262.8000000000002]"
14.0,893.330017,"[2471.6000000000004, 7675.0]"
7.0,211.669998,"[80.0, 813.4000000000001]"
45.0,451.670013,"[1262.8000000000002, 1721.1999999999998]"
67.0,1050.0,"[2471.6000000000004, 7675.0]"
80.0,1166.670044,"[2471.6000000000004, 7675.0]"
63.0,645.0,"[2471.6000000000004, 7675.0]"
125.0,706.669983,"[2471.6000000000004, 7675.0]"
37.0,923.330017,"[2471.6000000000004, 7675.0]"
51.0,975.0,"[2471.6000000000004, 7675.0]"
29.0,653.330017,"[2471.6000000000004, 7675.0]"
40.0,876.669983,"[2471.6000000000004, 7675.0]"
150.0,1050.0,"[2471.6000000000004, 7675.0]"
61.0,686.669983,"[2471.6000000000004, 7675.0]"
22.0,620.0,"[1262.8000000000002, 1721.1999999999998]"
83.0,758.330017,"[1721.1999999999998, 2471.6000000000004]"
86.0,873.330017,"[2471.6000000000004, 7675.0]"
77.0,560.0,"[1721.1999999999998, 2471.6000000000004]"
320.0,880.0,"[2471.6000000000004, 7675.0]"
147.0,1270.0,"[2471.6000000000004, 7675.0]"
36.0,945.0,"[1721.1999999999998, 2471.6000000000004]"
15.0,318.329987,"[80.0, 813.4000000000001]"
55.0,420.0,"[1262.8000000000002, 1721.1999999999998]"
22.0,556.669983,"[1721.1999999999998, 2471.6000000000004]"
89.0,1360.0,"[2471.6000000000004, 7675.0]"
84.0,716.669983,"[2471.6000000000004, 7675.0]"
90.0,963.330017,"[2471.6000000000004, 7675.0]"
30.0,571.669983,"[1721.1999999999998, 2471.6000000000004]"
39.0,533.330017,"[2471.6000000000004, 7675.0]"
38.0,426.670013,"[2471.6000000000004, 7675.0]"
52.0,546.669983,"[1721.1999999999998, 2471.6000000000004]"
28.0,936.669983,"[1721.1999999999998, 2471.6000000000004]"
17.0,295.0,"[813.4000000000001, 1262.8000000000002]"
24.0,680.0,"[1262.8000000000002, 1721.1999999999998]"
78.0,675.0,"[2471.6000000000004, 7675.0]"
46.0,390.0,"[813.4000000000001, 1262.8000000000002]"
20.0,313.329987,"[813.4000000000001, 1262.8000000000002]"
55.0,736.669983,"[2471.6000000000004, 7675.0]"
59.0,796.669983,"[2471.6000000000004, 7675.0]"
200.0,596.669983,"[2471.6000000000004, 7675.0]"
55.0,343.329987,"[1262.8000000000002, 1721.1999999999998]"
19.0,316.670013,"[813.4000000000001, 1262.8000000000002]"
42.0,573.330017,"[2471.6000000000004, 7675.0]"
69.0,853.330017,"[2471.6000000000004, 7675.0]"
20.0,463.329987,"[1262.8000000000002, 1721.1999999999998]"
30.0,300.0,"[80.0, 813.4000000000001]"
52.0,1123.329956,"[1721.1999999999998, 2471.6000000000004]"
16.0,606.669983,"[1721.1999999999998, 2471.6000000000004]"
47.0,983.330017,"[2471.6000000000004, 7675.0]"
14.0,423.329987,"[1262.8000000000002, 1721.1999999999998]"
27.0,613.330017,"[2471.6000000000004, 7675.0]"
15.0,650.0,"[1721.1999999999998, 2471.6000000000004]"
71.0,363.329987,"[1721.1999999999998, 2471.6000000000004]"
77.0,490.0,"[2471.6000000000004, 7675.0]"
43.0,473.329987,"[1721.1999999999998, 2471.6000000000004]"
69.0,466.670013,"[2471.6000000000004, 7675.0]"
39.0,380.0,"[1721.1999999999998, 2471.6000000000004]"
25.0,506.670013,"[1262.8000000000002, 1721.1999999999998]"
15.0,336.670013,"[813.4000000000001, 1262.8000000000002]"
7.0,546.669983,"[1262.8000000000002, 1721.1999999999998]"
41.0,346.670013,"[1721.1999999999998, 2471.6000000000004]"
67.0,826.669983,"[2471.6000000000004, 7675.0]"
34.0,508.329987,"[1721.1999999999998, 2471.6000000000004]"
62.0,1370.0,"[2471.6000000000004, 7675.0]"
10.0,266.670013,"[813.4000000000001, 1262.8000000000002]"
19.0,436.670013,"[80.0, 813.4000000000001]"
7.0,463.329987,"[813.4000000000001, 1262.8000000000002]"
18.0,736.669983,"[813.4000000000001, 1262.8000000000002]"
31.0,700.0,"[1721.1999999999998, 2471.6000000000004]"
18.0,323.329987,"[813.4000000000001, 1262.8000000000002]"
16.0,203.330002,"[80.0, 813.4000000000001]"
14.0,216.669998,"[80.0, 813.4000000000001]"
6.0,136.669998,"[80.0, 813.4000000000001]"
83.0,460.0,"[1721.1999999999998, 2471.6000000000004]"
55.0,308.329987,"[1721.1999999999998, 2471.6000000000004]"
12.0,323.329987,"[1262.8000000000002, 1721.1999999999998]"
24.0,466.670013,"[1721.1999999999998, 2471.6000000000004]"
19.0,533.330017,"[813.4000000000001, 1262.8000000000002]"
22.0,198.330002,"[80.0, 813.4000000000001]"
55.0,510.0,"[1721.1999999999998, 2471.6000000000004]"
58.0,553.330017,"[2471.6000000000004, 7675.0]"
8.0,330.0,"[80.0, 813.4000000000001]"
24.0,540.0,"[1721.1999999999998, 2471.6000000000004]"
27.0,223.330002,"[80.0, 813.4000000000001]"
29.0,386.670013,"[1262.8000000000002, 1721.1999999999998]"
16.0,223.330002,"[80.0, 813.4000000000001]"
11.0,356.670013,"[813.4000000000001, 1262.8000000000002]"
76.0,863.330017,"[2471.6000000000004, 7675.0]"
79.0,430.0,"[2471.6000000000004, 7675.0]"
16.0,603.330017,"[1262.8000000000002, 1721.1999999999998]"
14.0,326.670013,"[813.4000000000001, 1262.8000000000002]"
44.0,143.330002,"[80.0, 813.4000000000001]"
20.0,370.0,"[813.4000000000001, 1262.8000000000002]"
5.0,160.0,"[80.0, 813.4000000000001]"
25.0,346.670013,"[1262.8000000000002, 1721.1999999999998]"
35.0,736.669983,"[2471.6000000000004, 7675.0]"
85.0,400.0,"[1262.8000000000002, 1721.1999999999998]"
30.0,790.0,"[1721.1999999999998, 2471.6000000000004]"
23.0,600.0,"[1721.1999999999998, 2471.6000000000004]"
25.0,313.329987,"[813.4000000000001, 1262.8000000000002]"
26.0,423.329987,"[1262.8000000000002, 1721.1999999999998]"
16.0,203.330002,"[80.0, 813.4000000000001]"
51.0,631.669983,"[1721.1999999999998, 2471.6000000000004]"
29.0,461.670013,"[1721.1999999999998, 2471.6000000000004]"
8.0,60.0,"[80.0, 813.4000000000001]"
46.0,460.0,"[1262.8000000000002, 1721.1999999999998]"
13.0,408.329987,"[813.4000000000001, 1262.8000000000002]"
103.0,433.329987,"[1721.1999999999998, 2471.6000000000004]"
29.0,156.669998,"[80.0, 813.4000000000001]"
17.0,295.0,"[813.4000000000001, 1262.8000000000002]"
39.0,290.0,"[80.0, 813.4000000000001]"
57.0,405.0,"[813.4000000000001, 1262.8000000000002]"
65.0,596.669983,"[2471.6000000000004, 7675.0]"
40.0,450.0,"[1262.8000000000002, 1721.1999999999998]"
79.0,576.669983,"[2471.6000000000004, 7675.0]"
30.0,446.670013,"[1721.1999999999998, 2471.6000000000004]"
17.0,420.0,"[80.0, 813.4000000000001]"
20.0,836.669983,"[1262.8000000000002, 1721.1999999999998]"
19.0,323.329987,"[813.4000000000001, 1262.8000000000002]"
9.0,171.669998,"[80.0, 813.4000000000001]"
12.0,351.670013,"[813.4000000000001, 1262.8000000000002]"
59.0,471.670013,"[1262.8000000000002, 1721.1999999999998]"
18.0,330.0,"[813.4000000000001, 1262.8000000000002]"
15.0,205.0,"[80.0, 813.4000000000001]"
42.0,756.669983,"[1721.1999999999998, 2471.6000000000004]"
52.0,673.330017,"[2471.6000000000004, 7675.0]"
8.0,346.670013,"[813.4000000000001, 1262.8000000000002]"
19.0,173.330002,"[80.0, 813.4000000000001]"
9.0,516.669983,"[1262.8000000000002, 1721.1999999999998]"
46.0,1106.670044,"[2471.6000000000004, 7675.0]"
35.0,1016.669983,"[2471.6000000000004, 7675.0]"
49.0,736.669983,"[2471.6000000000004, 7675.0]"
54.0,681.669983,"[2471.6000000000004, 7675.0]"
21.0,640.0,"[1721.1999999999998, 2471.6000000000004]"
21.0,473.329987,"[1721.1999999999998, 2471.6000000000004]"
15.0,806.669983,"[2471.6000000000004, 7675.0]"
34.0,1095.0,"[2471.6000000000004, 7675.0]"
20.0,346.670013,"[1262.8000000000002, 1721.1999999999998]"
23.0,953.330017,"[2471.6000000000004, 7675.0]"
28.0,268.329987,"[813.4000000000001, 1262.8000000000002]"
86.0,455.0,"[1721.1999999999998, 2471.6000000000004]"
16.0,333.329987,"[80.0, 813.4000000000001]"
9.0,476.670013,"[1721.1999999999998, 2471.6000000000004]"
12.0,213.330002,"[80.0, 813.4000000000001]"
25.0,368.329987,"[813.4000000000001, 1262.8000000000002]"
25.0,195.0,"[80.0, 813.4000000000001]"
39.0,416.670013,"[1262.8000000000002, 1721.1999999999998]"
27.0,460.0,"[1721.1999999999998, 2471.6000000000004]"
37.0,466.670013,"[813.4000000000001, 1262.8000000000002]"
126.0,690.0,"[1721.1999999999998, 2471.6000000000004]"
36.0,915.0,"[1262.8000000000002, 1721.1999999999998]"
21.0,466.670013,"[813.4000000000001, 1262.8000000000002]"
30.0,380.0,"[813.4000000000001, 1262.8000000000002]"
141.0,966.669983,"[2471.6000000000004, 7675.0]"
63.0,830.0,"[2471.6000000000004, 7675.0]"
55.0,1006.669983,"[2471.6000000000004, 7675.0]"
200.0,506.670013,"[2471.6000000000004, 7675.0]"
60.0,755.0,"[1721.1999999999998, 2471.6000000000004]"
74.0,613.330017,"[1262.8000000000002, 1721.1999999999998]"
22.0,433.329987,"[1262.8000000000002, 1721.1999999999998]"
108.0,611.669983,"[2471.6000000000004, 7675.0]"
19.0,363.329987,"[813.4000000000001, 1262.8000000000002]"
10.0,473.329987,"[813.4000000000001, 1262.8000000000002]"
45.0,453.329987,"[1262.8000000000002, 1721.1999999999998]"
55.0,830.0,"[2471.6000000000004, 7675.0]"
46.0,663.330017,"[1721.1999999999998, 2471.6000000000004]"
39.0,500.0,"[813.4000000000001, 1262.8000000000002]"
13.0,763.330017,"[1721.1999999999998, 2471.6000000000004]"
70.0,423.329987,"[2471.6000000000004, 7675.0]"
18.0,593.330017,"[1721.1999999999998, 2471.6000000000004]"
36.0,573.330017,"[1721.1999999999998, 2471.6000000000004]"
23.0,473.329987,"[813.4000000000001, 1262.8000000000002]"
22.0,923.330017,"[1721.1999999999998, 2471.6000000000004]"
12.0,306.670013,"[813.4000000000001, 1262.8000000000002]"
